Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,SalePrice
1,60,RL,65.0,8450,Pave,,Reg,Lvl,AllPub,208500
2,20,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,181500
3,60,RL,68.0,11250,Pave,,IR1,Lvl,AllPub,223500
4,70,RL,60.0,9550,Pave,,IR1,Lvl,AllPub,140000
5,60,RL,84.0,14260,Pave,,IR1,Lvl,AllPub,250000
6,50,RL,85.0,14115,Pave,,IR1,Lvl,AllPub,143000
7,20,RL,75.0,10084,Pave,,Reg,Lvl,AllPub,307000
8,60,RL,,10382,Pave,,IR1,Lvl,AllPub,200000
9,50,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,129900
10,190,RL,50.0,7420,Pave,,Reg,Lvl,AllPub,118000
11,20,RL,70.0,11200,Pave,,Reg,Lvl,AllPub,129500
12,60,RL,85.0,11924,Pave,,IR1,Lvl,AllPub,345000
13,20,RL,,12968,Pave,,IR2,Lvl,AllPub,144000
14,20,RL,91.0,10652,Pave,,IR1,Lvl,AllPub,279500
15,20,RL,,10920,Pave,,IR1,Lvl,AllPub,157000
16,45,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,132000
17,20,RL,,11241,Pave,,IR1,Lvl,AllPub,149000
18,90,RL,72.0,10791,Pave,,Reg,Lvl,AllPub,90000
19,20,RL,66.0,13695,Pave,,Reg,Lvl,AllPub,159000
20,20,RL,70.0,7560,Pave,,Reg,Lvl,AllPub,139000
21,60,RL,101.0,14215,Pave,,IR1,Lvl,AllPub,325300
22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,139400
23,20,RL,75.0,9742,Pave,,Reg,Lvl,AllPub,230000
24,120,RM,44.0,4224,Pave,,Reg,Lvl,AllPub,129900
25,20,RL,,8246,Pave,,IR1,Lvl,AllPub,154000
26,20,RL,110.0,14230,Pave,,Reg,Lvl,AllPub,256300
27,20,RL,60.0,7200,Pave,,Reg,Lvl,AllPub,134800
28,20,RL,98.0,11478,Pave,,Reg,Lvl,AllPub,306000
29,20,RL,47.0,16321,Pave,,IR1,Lvl,AllPub,207500
30,30,RM,60.0,6324,Pave,,IR1,Lvl,AllPub,68500
31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,AllPub,40000
32,20,RL,,8544,Pave,,IR1,Lvl,AllPub,149350
33,20,RL,85.0,11049,Pave,,Reg,Lvl,AllPub,179900
34,20,RL,70.0,10552,Pave,,IR1,Lvl,AllPub,165500
35,120,RL,60.0,7313,Pave,,Reg,Lvl,AllPub,277500
36,60,RL,108.0,13418,Pave,,Reg,Lvl,AllPub,309000
37,20,RL,112.0,10859,Pave,,Reg,Lvl,AllPub,145000
38,20,RL,74.0,8532,Pave,,Reg,Lvl,AllPub,153000
39,20,RL,68.0,7922,Pave,,Reg,Lvl,AllPub,109000
40,90,RL,65.0,6040,Pave,,Reg,Lvl,AllPub,82000
41,20,RL,84.0,8658,Pave,,Reg,Lvl,AllPub,160000
42,20,RL,115.0,16905,Pave,,Reg,Lvl,AllPub,170000
43,85,RL,,9180,Pave,,IR1,Lvl,AllPub,144000
44,20,RL,,9200,Pave,,IR1,Lvl,AllPub,130250
45,20,RL,70.0,7945,Pave,,Reg,Lvl,AllPub,141000
46,120,RL,61.0,7658,Pave,,Reg,Lvl,AllPub,319900
47,50,RL,48.0,12822,Pave,,IR1,Lvl,AllPub,239686
48,20,FV,84.0,11096,Pave,,Reg,Lvl,AllPub,249700
49,190,RM,33.0,4456,Pave,,Reg,Lvl,AllPub,113000
50,20,RL,66.0,7742,Pave,,Reg,Lvl,AllPub,127000
51,60,RL,,13869,Pave,,IR2,Lvl,AllPub,177000
52,50,RM,52.0,6240,Pave,,Reg,Lvl,AllPub,114500
53,90,RM,110.0,8472,Grvl,,IR2,Bnk,AllPub,110000
54,20,RL,68.0,50271,Pave,,IR1,Low,AllPub,385000
55,80,RL,60.0,7134,Pave,,Reg,Bnk,AllPub,130000
56,20,RL,100.0,10175,Pave,,IR1,Lvl,AllPub,180500
57,160,FV,24.0,2645,Pave,Pave,Reg,Lvl,AllPub,172500
58,60,RL,89.0,11645,Pave,,IR1,Lvl,AllPub,196500
59,60,RL,66.0,13682,Pave,,IR2,HLS,AllPub,438780
60,20,RL,60.0,7200,Pave,,Reg,Bnk,AllPub,124900
61,20,RL,63.0,13072,Pave,,Reg,Lvl,AllPub,158000
62,75,RM,60.0,7200,Pave,,Reg,Lvl,AllPub,101000
63,120,RL,44.0,6442,Pave,,IR1,Lvl,AllPub,202500
